patent,prim,patentclass,subclass
03929903,0,560,138
03929903,0,562,435
03929903,0,987,212
03929903,0,987,228
03929902,1,568,643
03929902,0,544,170
03929902,0,544,395
03929902,0,546,240
03929902,0,548,574
03929902,0,549,417
03929902,0,549,423
03929902,0,558,51
03929902,0,564,285
03929902,0,564,355
03929902,0,568,807
03929902,0,568,812
03929902,0,568,813
03929901,1,568,33
03929901,0,528,99
03929901,0,528,102
03929901,0,528,190
03929901,0,568,36
03929901,0,568,48
03929901,0,568,333
03929901,0,568,631
03929901,0,568,633
03929901,0,568,637
03929901,0,568,643
03929901,0,568,645
03929900,1,568,453
03929900,0,422,211
03929900,0,568,909
03929899,1,568,476
03929899,0,502,202
03929899,0,502,300
03929899,0,562,546
03929899,0,562,547
03929899,0,568,477
03929899,0,568,479
03929899,0,585,379
03929898,1,568,453
03929897,1,568,494
03929897,0,568,488
03929896,1,568,407
03929896,0,568,323
03929896,0,568,364
03929895,1,568,377
03929895,0,424,69
03929895,0,510,105
03929895,0,510,106
03929895,0,512,17
03929895,0,512,24
03929895,0,568,345
03929895,0,568,374
03929895,0,568,445
03929895,0,568,446
03929894,1,568,353
03929894,0,512,15
03929894,0,549,525
03929894,0,549,546
03929893,1,568,341
03929893,0,568,375
03929893,0,568,821
03929892,1,426,582
03929892,0,426,36
03929892,0,426,519
03929892,0,426,585
03929891,1,564,417
03929890,1,426,580
03929890,0,426,656
03929890,0,426,657
03929890,0,530,360
03929890,0,530,378
03929890,0,530,407
03929890,0,530,824
03929889,1,564,395
03929889,0,546,159
03929889,0,546,171
03929889,0,546,289
03929889,0,546,311
03929889,0,558,418
03929889,0,564,402
03929889,0,564,408
03929888,1,564,446
03929888,0,562,477
03929887,1,564,372
03929887,0,514,822
03929887,0,544,263
03929887,0,544,357
03929887,0,548,362.5
03929887,0,548,375.1
03929887,0,548,519
03929887,0,549,13
03929887,0,549,74
03929887,0,549,414
03929887,0,549,435
03929887,0,549,472
03929887,0,549,492
03929887,0,560,138
03929887,0,560,142
03929887,0,562,590
03929887,0,568,42
03929887,0,568,306
03929887,0,568,323
03929887,0,568,325
03929887,0,568,328
03929887,0,568,329
03929887,0,568,330
03929886,1,564,286
03929886,0,250,396R
03929886,0,544,87
03929886,0,544,174
03929886,0,562,84
03929886,0,564,287
03929885,1,564,258
03929884,1,564,246
03929884,0,514,866
03929884,0,514,909
03929884,0,540,575
03929884,0,562,86
03929884,0,562,114
03929884,0,562,582
03929884,0,562,584
03929884,0,562,585
03929884,0,562,587
03929884,0,562,595
03929884,0,562,606
03929884,0,562,607
03929883,1,564,245
03929883,0,548,559
03929882,1,564,245
03929882,0,524,93
03929882,0,524,195
03929882,0,548,305.7
03929882,0,564,225
03929882,0,564,244
03929882,0,568,812
03929881,1,564,127
03929881,0,502,242
03929881,0,502,244
03929881,0,502,247
03929881,0,502,258
03929880,1,560,139
03929880,0,546,219
03929880,0,564,163
03929880,0,564,166
03929880,0,564,167
03929880,0,564,169
03929879,1,564,166
03929879,0,210,764
03929879,0,424,59
03929879,0,514,917
03929878,1,564,71
03929877,1,564,18
03929877,0,548,263.8
03929876,1,549,336
03929876,0,549,419
03929876,0,549,420
03929876,0,549,454
03929876,0,558,44
03929876,0,560,51
03929876,0,560,53
03929876,0,560,54
03929876,0,562,867
03929875,1,562,590
03929875,0,252,181
03929875,0,252,186.44
03929875,0,510,220
03929875,0,510,229
03929875,0,510,309
03929875,0,510,318
03929875,0,510,375
03929875,0,510,477
03929874,1,562,564
03929874,0,252,180
03929874,0,252,184
03929874,0,252,192
03929874,0,252,193
03929874,0,562,568
03929873,1,562,537
03929872,1,562,462
03929872,0,514,869
03929872,0,544,176
03929872,0,548,253
03929872,0,548,540
03929872,0,560,51
03929872,0,560,53
03929872,0,562,459
03929872,0,562,461
03929872,0,562,867
03929872,0,564,169
03929872,0,568,809
03929871,1,564,381
03929871,0,564,375
03929871,0,568,306
03929871,0,568,308
03929871,0,568,584
03929871,0,568,588
03929871,0,568,927
03929870,1,560,180
03929870,0,426,654
03929869,1,560,157
03929869,0,558,280
03929869,0,568,840
03929869,0,568,881
03929868,1,560,90
03929868,0,528,296
03929868,0,528,302
03929867,1,560,90
03929867,0,524,296
03929867,0,524,568
03929866,1,560,83
03929866,0,521,171
03929866,0,521,173
03929866,0,528,299
03929865,1,560,28
03929865,0,504,304
03929864,1,560,23
03929863,1,560,50
03929863,0,521,163
03929863,0,528,68
03929863,0,558,251
03929862,1,560,121
03929861,1,560,121
03929861,0,544,107
03929861,0,560,119
03929861,0,562,503
03929860,1,558,377
03929860,0,558,457
03929859,1,558,454
03929859,0,558,379
03929859,0,558,421
03929858,1,558,454
03929857,1,558,439
03929857,0,525,332.7
03929857,0,525,348
03929857,0,525,351
03929857,0,540,480
03929857,0,540,596
03929857,0,544,59
03929857,0,546,186
03929857,0,546,187
03929857,0,548,523
03929857,0,558,303
03929857,0,558,396
03929857,0,558,430
03929857,0,558,432
03929856,1,558,422
03929856,0,562,597
03929856,0,564,242
03929856,0,564,304
03929856,0,564,351
03929855,1,524,254
03929855,0,524,929
03929855,0,564,305
03929855,0,564,397
03929855,0,564,398
03929854,1,560,308
03929854,0,560,309
03929853,1,558,44
03929853,0,250,396R
03929853,0,544,166
03929853,0,544,171
03929853,0,544,176
03929853,0,548,540
03929853,0,549,281
03929853,0,549,311
03929853,0,549,416
03929853,0,549,422
03929853,0,549,423
03929853,0,549,431
03929853,0,558,46
03929853,0,558,57
03929853,0,558,426
03929853,0,558,428
03929853,0,560,7
03929853,0,560,84
03929853,0,560,115
03929853,0,560,126
03929853,0,560,162
03929853,0,560,180
03929853,0,560,194
03929853,0,560,256
03929853,0,564,171
03929853,0,564,172
03929853,0,564,188
03929853,0,568,820
03929852,1,558,250
03929852,0,558,251
03929852,0,558,252
03929852,0,558,257
03929852,0,562,842
03929852,0,562,849
03929852,0,562,853
03929852,0,562,867
03929852,0,562,887
03929852,0,568,61
03929852,0,568,62
03929852,0,568,65
03929852,0,568,66
03929852,0,568,67
03929851,1,556,454
03929851,0,556,432
03929851,0,556,435
03929851,0,556,462
03929851,0,556,476
03929850,1,556,431
03929850,0,525,105
03929850,0,525,106
03929850,0,525,383
03929850,0,526,128
03929850,0,526,142
03929850,0,526,143
03929850,0,526,279
03929850,0,528,32
03929849,1,556,9
03929849,0,502,62
03929849,0,548,107
03929849,0,556,173
03929849,0,556,400
03929849,0,987,110
03929848,1,358,1.16
03929848,0,556,13
03929848,0,556,57
03929847,1,554,164
03929847,0,554,165
03929847,0,554,227
03929847,0,560,112
03929847,0,560,185
03929846,1,554,164
03929846,0,554,165
03929846,0,554,227
03929846,0,560,112
03929846,0,560,185
03929846,0,560,186
03929845,1,554,68
03929845,0,564,215
03929844,1,552,628
03929844,0,264,DIG72
03929843,1,552,234
03929843,0,8,528
03929843,0,8,532
03929843,0,8,533
03929843,0,8,675
03929843,0,8,908
03929843,0,8,912
03929843,0,8,922
03929843,0,8,928
03929842,1,552,242
03929842,0,8,678
03929842,0,8,922
03929842,0,552,221
03929842,0,552,226
03929842,0,552,229
03929842,0,552,231
03929842,0,552,262
03929841,1,552,254
03929840,1,549,217
03929840,0,549,208
03929839,1,549,498
03929839,0,131,277
03929839,0,426,536
03929839,0,512,11
03929839,0,549,357
03929839,0,549,479
03929838,1,549,470
03929838,0,549,452
03929838,0,560,17
03929837,1,549,462
03929836,1,549,467
03929836,0,549,468
03929836,0,549,471
03929835,1,549,385
03929835,0,568,731
03929834,1,549,289
03929834,0,546,71
03929834,0,546,149
03929834,0,564,170
03929834,0,564,174
03929834,0,564,373
03929833,1,549,64
03929833,0,560,15
03929833,0,560,105
03929832,1,549,46
03929831,1,548,407
03929831,0,250,396R
03929831,0,503,222
03929831,0,544,150
03929831,0,544,172
03929831,0,544,173
03929831,0,544,174
03929831,0,546,15
03929831,0,546,197
03929831,0,548,577
03929830,1,548,482
03929829,1,548,421
03929829,0,430,221
03929829,0,430,245
03929829,0,430,517
03929829,0,548,455
03929828,1,548,364.4
03929828,0,428,323
03929828,0,548,377.1
03929827,1,548,365.1
03929826,1,548,359.1
03929826,0,544,74
03929826,0,544,78
03929826,0,544,80
03929826,0,544,130
03929826,0,544,139
03929826,0,544,140
03929826,0,544,165
03929826,0,544,176
03929826,0,548,358.5
03929825,1,548,357.5
03929825,0,428,323
03929825,0,503,222
03929824,1,548,309.1
03929824,0,564,218
03929824,0,564,440
03929824,0,564,441
03929823,1,548,309.1
03929823,0,558,13
03929823,0,564,223
03929823,0,564,440
03929822,1,548,308.4
03929821,1,548,309.1
03929820,1,548,344.1
03929820,0,552,101
03929820,0,552,115
03929819,1,548,338.1
03929819,0,424,59
03929819,0,548,334.1
03929818,1,548,253
03929818,0,560,121
03929818,0,987,110
03929818,0,987,350
03929817,1,548,113
03929817,0,548,165
03929817,0,548,172
03929817,0,548,173
03929817,0,548,221
03929817,0,987,64
03929817,0,987,65
03929816,1,548,140
03929816,0,504,263
03929816,0,548,141
03929815,1,548,207
03929814,1,548,131
03929814,0,548,181
03929814,0,548,304.4
03929814,0,548,309.7
03929813,1,546,261
03929813,0,546,22
03929813,0,546,264
03929813,0,546,338
03929812,1,546,117
03929812,0,544,238
03929812,0,544,333
03929812,0,544,362
03929812,0,544,405
03929811,1,546,320
03929811,0,546,286
03929811,0,546,327
03929810,1,546,330
03929810,0,424,84
03929810,0,546,12
03929809,1,546,116
03929809,0,546,23
03929809,0,987,50
03929808,1,546,268.4
03929808,0,424,84
03929808,0,546,8
03929808,0,546,9
03929808,0,546,330
03929808,0,546,335
03929807,1,546,274.1
03929807,0,514,825
03929807,0,514,960
03929807,0,546,314
03929807,0,546,315
03929807,0,546,328
03929806,1,546,292
03929806,0,544,60
03929806,0,544,131
03929806,0,546,193
03929806,0,546,274.1
03929806,0,546,275.4
03929806,0,546,276.4
03929806,0,546,277.4
03929806,0,546,305
03929805,1,546,25
03929805,0,987,99
03929804,1,546,190
03929804,0,524,103
03929804,0,544,130
03929804,0,546,16
03929804,0,546,237
03929804,0,546,238
03929804,0,546,248
03929803,1,546,206
03929803,0,514,824
03929803,0,540,604
03929803,0,544,85
03929803,0,544,109
03929803,0,544,110
03929803,0,544,158
03929802,1,546,187
03929802,0,544,79
03929802,0,544,87
03929802,0,544,357
03929802,0,548,518
03929802,0,548,519
03929802,0,548,523
03929802,0,549,460
03929801,1,546,199
03929801,0,546,187
03929801,0,546,193
03929801,0,546,273.7
03929800,1,526,90
03929800,0,526,135
03929800,0,526,227
03929800,0,526,290
03929800,0,540,485
03929800,0,540,525
03929800,0,540,531
03929800,0,548,445
03929800,0,548,543
03929800,0,558,358
03929800,0,560,190
03929800,0,560,203
03929800,0,560,205
03929800,0,560,220
03929800,0,560,222
03929800,0,560,224
03929800,0,560,225
03929800,0,560,241
03929800,0,560,261
03929800,0,562,590
03929800,0,562,595
03929800,0,564,282
03929800,0,564,291
03929800,0,564,305
03929800,0,568,613
03929800,0,568,672
03929800,0,570,138
03929800,0,585,2
03929800,0,585,3
03929800,0,585,4
03929800,0,585,10
03929799,1,546,352
03929799,0,546,102
03929799,0,546,108
03929799,0,546,139
03929799,0,546,181
03929798,1,546,159
03929798,0,546,144
03929798,0,546,160
03929798,0,546,167
03929798,0,546,183
03929798,0,546,256
03929798,0,546,276.4
03929798,0,546,278.4
03929798,0,546,281.4
03929798,0,546,283.4
03929798,0,546,284.4
03929798,0,546,310
03929797,1,546,167
03929797,0,430,245
03929797,0,430,517
03929797,0,548,456
03929796,1,546,68
03929796,0,546,67
03929796,0,546,69
03929795,1,546,90
03929795,0,546,134
03929795,0,546,136
03929795,0,546,146
03929795,0,546,172
03929795,0,546,174
03929795,0,546,176
03929795,0,546,177
03929795,0,546,226
03929795,0,546,245
03929795,0,546,248
03929794,1,546,7
03929794,0,106,496
03929794,0,546,155
03929794,0,548,105
03929793,1,544,373
03929792,1,544,394
03929792,0,514,910
03929792,0,540,544
03929792,0,540,553
03929792,0,540,575
03929792,0,540,598
03929792,0,544,357
03929792,0,544,365
03929792,0,544,393
03929791,1,544,369
03929791,0,544,88
03929791,0,544,96
03929791,0,544,286
03929791,0,544,295
03929791,0,544,315
03929791,0,544,360
03929791,0,544,363
03929791,0,544,364
03929791,0,544,368
03929791,0,544,370
03929791,0,544,372
03929791,0,544,373
03929791,0,544,374
03929791,0,544,375
03929791,0,544,376
03929790,1,544,347
03929789,1,544,320
03929789,0,544,243
03929789,0,987,358
03929788,1,544,311
03929787,1,544,282
03929787,0,560,38
03929787,0,560,39
03929787,0,560,51
03929787,0,560,53
03929786,1,544,253
03929786,0,430,243
03929786,0,430,486
03929786,0,544,249
03929786,0,544,281
03929786,0,544,282
03929785,1,544,184
03929785,0,8,527
03929785,0,8,692
03929785,0,8,917
03929785,0,8,922
03929785,0,8,924
03929785,0,8,927
03929785,0,534,766
03929785,0,544,60
03929785,0,544,81
03929785,0,544,82
03929785,0,544,112
03929785,0,544,121
03929785,0,544,124
03929785,0,544,129
03929785,0,544,130
03929785,0,544,131
03929784,1,546,176
03929784,0,544,128
03929783,1,544,34
03929783,0,544,101
03929783,0,544,105
03929782,1,540,227
03929782,0,540,225
03929782,0,540,226
03929782,0,540,228
03929782,0,540,328
03929781,1,540,228
03929781,0,540,225
03929781,0,540,227
03929781,0,540,328
03929780,1,540,222
03929780,0,540,215
03929780,0,540,217
03929780,0,540,226
03929780,0,540,227
03929780,0,540,229
03929779,1,540,227
03929778,1,540,228
03929778,0,540,230
03929778,0,549,76
03929778,0,549,496
03929778,0,558,233
03929777,1,540,228
03929776,1,540,201
03929776,0,540,226
03929776,0,540,229
03929776,0,546,341
03929776,0,549,79
03929776,0,549,501
03929776,0,558,243
03929775,1,540,215
03929775,0,540,222
03929775,0,540,228
03929775,0,540,229
03929775,0,540,230
03929774,1,540,227
03929773,1,544,225
03929773,0,546,2
03929773,0,546,10
03929773,0,546,12
03929773,0,987,15
03929772,1,544,345
03929772,0,546,174
03929772,0,548,110
03929772,0,548,121
03929772,0,548,147
03929772,0,548,150
03929772,0,548,180
03929772,0,548,183
03929772,0,548,243
03929771,1,544,209
03929771,0,544,212
03929771,0,544,237
03929771,0,544,238
03929771,0,544,284
03929771,0,544,331
03929771,0,544,355
03929771,0,546,100
03929770,1,540,51
03929770,0,204,157.67
03929770,0,552,541
03929770,0,552,544
03929770,0,552,653
03929769,1,540,8
03929769,0,540,17
03929769,0,540,64
03929769,0,540,80
03929768,1,540,63
03929768,0,540,5
03929768,0,540,67
03929768,0,540,70
03929767,1,540,317
03929766,1,540,553
03929766,0,540,561
03929766,0,544,335
03929766,0,548,354.1
03929765,1,548,953
03929765,0,544,238
03929765,0,544,319
03929765,0,546,162
03929765,0,546,268.1
03929765,0,548,306.1
03929765,0,548,314.7
03929765,0,548,465
03929764,1,536,27.62
03929763,1,536,27.62
03929762,1,536,16.6
03929762,0,536,16.8
03929761,1,536,13.7
03929760,1,534,648
03929760,0,430,223
03929760,0,430,955
03929760,0,534,573
03929760,0,534,592
03929760,0,534,649
03929760,0,534,651
03929760,0,534,682
03929760,0,534,728
03929760,0,534,734
03929760,0,534,860
03929760,0,534,876
03929760,0,534,883
03929760,0,534,DIG2
03929760,0,562,826
03929760,0,562,832
03929760,0,564,86
03929760,0,564,120
03929759,1,530,313
03929759,0,514,800
03929759,0,930,20
03929759,0,930,21
03929759,0,930,130
03929759,0,930,280
03929759,0,930,DIG695
03929758,1,530,307
03929758,0,530,311
03929758,0,530,315
03929758,0,530,334
03929758,0,530,336
03929758,0,930,60
03929758,0,930,150
03929758,0,930,160
03929758,0,930,260
03929758,0,930,DIG565
03929758,0,930,DIG660
03929758,0,930,DIG670
03929757,1,435,226
03929757,0,530,380
03929757,0,530,416
03929756,1,530,327
03929756,0,930,10
03929756,0,930,20
03929756,0,930,DIG802
03929756,0,930,DIG811
03929755,1,530,226
03929755,0,524,274
03929754,1,526,119
03929754,0,526,128
03929754,0,526,159
03929754,0,526,352
03929754,0,526,352.2
03929753,1,526,202
03929753,0,524,458
03929753,0,526,219.2
03929753,0,526,219.5
03929753,0,526,228
03929753,0,526,230.5
03929753,0,526,329.4
03929753,0,526,330
03929753,0,526,332
03929753,0,526,344
03929753,0,526,344.2
03929753,0,526,345
03929752,1,526,217
03929752,0,526,224
03929752,0,526,294
03929751,1,526,234
03929751,0,526,303.1
03929750,1,525,185
03929750,0,525,186
03929750,0,525,369
03929750,0,525,375
03929750,0,525,378
03929750,0,526,317.1
03929749,1,528,481
03929749,0,423,293
03929749,0,502,32
03929749,0,524,562
03929749,0,526,329
03929749,0,528,491
03929749,0,528,503
03929748,1,526,204
03929748,0,525,375
03929748,0,526,318.6
03929748,0,526,319
03929748,0,526,330
03929748,0,526,346
03929747,1,526,226
03929747,0,526,237
03929747,0,526,290
03929747,0,526,347
03929746,1,526,336
03929746,0,525,331.8
03929746,0,525,354
03929746,0,526,169
03929746,0,526,347
03929745,1,526,161
03929745,0,502,103
03929745,0,502,121
03929745,0,526,282
03929745,0,526,336
03929745,0,526,339
03929745,0,526,348
03929744,1,525,329.4
03929744,0,525,360
03929744,0,525,383
03929744,0,528,44
03929744,0,528,75
03929743,1,525,329.9
03929743,0,524,555
03929743,0,524,914
03929743,0,525,328.2
03929743,0,525,328.8
03929743,0,526,304
03929742,1,528,391
03929741,1,523,106
03929741,0,210,500.1
03929741,0,260,998.11
03929741,0,521,38
03929741,0,524,547
03929741,0,524,916
03929741,0,525,291
03929741,0,526,288
03929740,1,525,328.5
03929740,0,8,115.6
03929740,0,525,366
03929740,0,528,486
03929739,1,524,808
03929739,0,524,548
03929739,0,524,552
03929739,0,524,555
03929739,0,524,813
03929739,0,524,922
03929739,0,525,353
03929739,0,525,359.5
03929739,0,525,359.6
03929739,0,526,295
03929739,0,526,307.6
03929739,0,526,310
03929739,0,526,923
03929738,1,526,272
03929737,1,525,285
03929737,0,525,265
03929736,1,525,285
03929736,0,525,263
03929736,0,525,290
03929736,0,525,297
03929736,0,525,298
03929736,0,525,301
03929735,1,526,264
03929735,0,210,735
03929735,0,424,70.15
03929735,0,424,70.17
03929735,0,526,270
03929734,1,528,347
03929734,0,524,352
03929734,0,528,336
03929734,0,528,349
03929734,0,560,192
03929733,1,528,67
03929733,0,528,51
03929732,1,528,80
03929732,0,525,85
03929732,0,528,83
03929732,0,528,85
03929731,1,528,392
03929731,0,525,518
03929731,0,525,519
03929731,0,528,230
03929731,0,528,367
03929730,1,528,83
03929730,0,521,159
03929730,0,521,163
03929730,0,528,355
03929729,1,267,138
03929729,0,213,7
03929729,0,264,236
03929729,0,267,141
03929729,0,267,141.1
03929729,0,267,153
03929729,0,267,294
03929729,0,528,63
03929729,0,528,64
03929728,1,528,285
03929728,0,528,275
03929728,0,528,277
03929728,0,528,279
03929728,0,528,283
03929728,0,528,286
03929728,0,528,288
03929728,0,528,293
03929728,0,528,302
03929728,0,528,303
03929728,0,528,307
03929727,1,524,338
03929727,0,524,612
03929726,1,524,91
03929726,0,524,191
03929726,0,524,194
03929726,0,528,48
03929725,1,524,711
03929725,0,524,710
03929724,1,524,256
03929724,0,524,257
03929724,0,524,333
03929724,0,524,563
03929724,0,525,197
03929724,0,525,222
03929723,1,523,127
03929723,0,524,259
03929723,0,524,260
03929722,1,524,406
03929722,0,524,409
03929722,0,524,430
03929722,0,525,76
03929721,1,524,440
03929721,0,524,546
03929721,0,525,102
03929721,0,525,104
03929720,1,524,168
03929720,0,564,96
03929719,1,524,90
03929718,1,523,213
03929718,0,523,212
03929718,0,524,863
03929718,0,524,864
03929717,1,525,113
03929717,0,525,117
03929716,1,523,404
03929716,0,523,428
03929716,0,523,440
03929716,0,523,443
03929716,0,525,403
03929716,0,525,504
03929716,0,525,523
03929716,0,528,107
03929716,0,528,123
03929716,0,528,407
03929715,1,524,570
03929715,0,524,571
03929714,1,524,352
03929714,0,524,353
03929714,0,524,600
03929714,0,528,322
03929714,0,528,331
03929713,1,528,319
03929713,0,525,422
03929713,0,526,262
03929713,0,528,125
03929713,0,528,322
03929712,1,524,310
03929712,0,264,300
03929711,1,524,285
03929711,0,549,234
03929711,0,560,117
03929711,0,562,499
03929710,1,524,170
03929710,0,524,172
03929710,0,525,83
03929710,0,525,86
03929710,0,525,315
03929710,0,526,329.1
03929710,0,526,329.3
03929710,0,526,338
03929710,0,526,342
03929709,1,524,754
03929709,0,524,871
03929709,0,528,48
03929709,0,528,56
03929709,0,528,58
03929708,1,524,267
03929708,0,264,211
03929708,0,264,300
03929708,0,524,14
03929708,0,524,433
03929708,0,524,445
03929708,0,524,456
03929708,0,524,547
03929707,1,523,210
03929707,0,523,340
03929707,0,524,522
03929707,0,524,571
03929707,0,524,574
03929707,0,524,575
03929707,0,564,475
03929707,0,564,505
03929706,1,524,814
03929706,0,524,813
03929706,0,524,817
03929706,0,524,823
03929706,0,524,825
03929705,1,523,122
03929705,0,106,18.31
03929705,0,106,18.32
03929705,0,514,394
03929705,0,514,395
03929705,0,524,93
03929704,1,524,268
03929704,0,427,208.4
03929704,0,428,447
03929704,0,525,477
03929703,1,524,272
03929703,0,281,21.1
03929703,0,524,274
03929703,0,530,224
03929702,1,524,274
03929702,0,524,171
03929702,0,524,291
03929702,0,524,333
03929702,0,524,346
03929702,0,524,583
03929701,1,524,145
03929701,0,524,568
03929701,0,524,576
03929701,0,525,54.44
03929700,1,524,114
03929700,0,524,151
03929700,0,524,311
03929700,0,524,313
03929700,0,524,399
03929700,0,524,400
03929699,1,523,100
03929699,0,106,13
03929699,0,252,70
03929699,0,426,415
03929699,0,516,73
03929699,0,516,DIG6
03929699,0,524,317
03929699,0,526,330
03929699,0,526,344.3
03929698,1,525,7.3
03929698,0,523,500
03929698,0,523,515
03929698,0,525,34
03929698,0,525,443
03929698,0,528,295.5
03929698,0,528,304
03929697,1,524,47
03929697,0,106,214.2
03929697,0,427,380
03929697,0,427,389.9
03929697,0,427,392
03929697,0,524,555
03929696,1,524,35
03929696,0,264,123
03929696,0,428,528
03929695,1,527,403
03929695,0,156,335
03929695,0,525,480
03929695,0,525,501
03929695,0,528,129
03929695,0,528,147
03929694,1,523,164
03929694,0,524,27
03929694,0,524,522
03929694,0,524,538
03929693,1,524,40
03929693,0,525,309
03929692,1,524,44
03929692,0,106,698
03929691,1,524,726
03929691,0,264,184
03929691,0,264,205
03929691,0,528,74
03929690,1,521,60
03929690,0,521,85
03929690,0,521,87
03929690,0,521,88
03929690,0,521,89
03929690,0,521,97
03929690,0,521,146
03929690,0,521,147
03929690,0,521,148
03929690,0,521,916
03929689,1,521,92
03929689,0,521,79
03929689,0,521,95
03929689,0,521,97
03929689,0,521,98
03929689,0,521,134
03929689,0,521,143
03929689,0,524,178
03929689,0,524,291
03929689,0,524,467
03929689,0,524,579
03929689,0,524,583
03929689,0,524,585
03929689,0,525,190
03929688,1,521,170
03929688,0,521,85
03929688,0,521,108
03929688,0,521,122
03929688,0,521,138
03929688,0,521,149
03929688,0,521,182
03929688,0,521,910
03929688,0,523,506
03929688,0,524,130
03929688,0,524,560
03929688,0,524,712
03929688,0,524,839
03929688,0,987,159
03929687,1,521,114
03929687,0,521,106
03929687,0,521,115
03929687,0,521,120
03929687,0,521,128
03929687,0,521,178
03929687,0,521,181
03929687,0,521,182
03929687,0,521,189
03929687,0,525,422
03929687,0,525,423
03929687,0,525,425
03929687,0,525,429
03929687,0,525,929
03929687,0,528,99
03929687,0,528,113
03929687,0,528,114
03929686,1,521,89
03929686,0,264,DIG5
03929686,0,264,DIG13
03929686,0,521,60
03929686,0,521,91
03929686,0,521,92
03929686,0,521,93
03929686,0,521,94
03929686,0,521,95
03929686,0,521,97
03929686,0,521,98
03929686,0,521,146
03929686,0,521,908
03929685,1,521,62
03929685,0,264,41
03929685,0,264,225
03929685,0,521,88
03929685,0,521,134
03929685,0,521,138
03929685,0,521,139
03929685,0,523,523
03929685,0,524,458
03929685,0,524,460
03929685,0,525,168
03929685,0,525,170
03929685,0,525,260
03929685,0,525,265
03929685,0,525,309
03929684,1,528,271
03929684,0,548,250
03929684,0,548,251
03929683,1,502,334
03929683,0,208,138
03929683,0,208,139
03929682,1,502,332
03929682,0,423,407
03929681,1,502,10
03929681,0,423,213.5
03929681,0,502,314
03929681,0,502,318
03929681,0,502,324
03929680,1,510,111
03929680,0,252,363.5
03929680,0,510,119
03929680,0,510,127
03929680,0,510,235
03929680,0,510,237
03929680,0,510,340
03929680,0,510,342
03929680,0,510,421
03929680,0,510,427
03929680,0,510,432
03929679,1,510,349
03929679,0,510,351
03929679,0,510,356
03929679,0,510,357
03929679,0,510,361
03929679,0,510,442
03929679,0,510,443
03929678,1,510,349
03929678,0,510,340
03929678,0,510,341
03929678,0,510,350
03929678,0,510,351
03929678,0,510,352
03929678,0,510,355
03929678,0,510,441
03929678,0,510,494
03929678,0,987,110
03929677,1,512,17
03929677,0,568,349
03929677,0,568,374
03929677,0,568,377
03929677,0,568,383
03929677,0,585,947
03929676,1,512,6
03929676,0,512,15
03929676,0,512,17
03929676,0,512,19
03929676,0,560,118
03929676,0,568,342
03929676,0,568,349
03929676,0,568,374
03929676,0,568,377
03929676,0,568,378
03929676,0,568,819
03929676,0,585,360
03929675,1,512,13
03929675,0,512,8
03929674,1,252,514
03929674,0,75,247
03929674,0,75,254
03929674,0,106,1.13
03929674,0,106,1.15
03929674,0,428,427
03929674,0,428,434
03929674,0,428,546
03929673,1,502,301
03929673,0,564,127
03929672,1,502,66
03929672,0,423,713
03929672,0,423,717
03929672,0,423,DIG21
03929672,0,502,60
03929672,0,502,64
03929672,0,502,68
03929672,0,502,74
03929671,1,502,241
03929671,0,501,54
03929671,0,502,242
03929671,0,502,244
03929671,0,502,251
03929671,0,502,252
03929671,0,502,256
03929671,0,502,258
03929670,1,502,244
03929670,0,423,213.2
03929670,0,502,241
03929670,0,502,303
03929669,1,423,716
03929669,0,208,310R
03929669,0,208,310Z
03929669,0,423,DIG21
03929669,0,502,79
03929668,1,502,65
03929668,0,208,120.01
03929668,0,208,120.05
03929668,0,208,120.15
03929668,0,208,120.25
03929668,0,502,64
03929668,0,502,68
03929668,0,502,504
03929668,0,502,520
03929667,1,252,408.1
03929666,1,252,175
03929666,0,210,716
03929666,0,423,397
03929666,0,423,407
03929666,0,423,556
03929666,0,423,629
03929665,1,252,301.4S
03929664,1,252,301.19
03929664,0,73,104
03929664,0,250,302
03929664,0,252,960
03929663,1,510,472
03929663,0,510,352
03929663,0,510,357
03929663,0,510,480
03929663,0,510,488
03929662,1,514,705
03929662,0,510,131
03929662,0,510,161
03929662,0,510,382
03929662,0,510,383
03929662,0,510,461
03929662,0,510,505
03929661,1,510,370
03929661,0,8,108.1
03929661,0,510,108
03929661,0,510,303
03929661,0,510,426
03929661,0,510,488
03929661,0,510,495
03929660,1,524,404
03929660,0,218,117
03929660,0,218,150
03929660,0,218,158
03929660,0,524,405
03929660,0,524,408
03929660,0,524,409
