patent,firstname,lastname,lawcountry,orgname,lawseq
05706221,"","",unknown,"TOWNSEND AND TOWSEND AND CREW LLP",1
05704170,MCCARTHY;,K.,unknown,"",1
05704632,"","",unknown,"BIRCH, STEWART, KOLASCH & BIRCH, LLP",0
05704957,"","",unknown,"MACMILLAN, SOBANSKI & TODD",0
05705210,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05706253,MCGOWAN;,J.,unknown,"",0
05705487,CONRAD;,A.,unknown,"",2
05705147,"","",unknown,"MCDONNELL BOEHNEN HULBERT & BERGHOFF",0
05706241,"","",unknown,"OBLON, SPIVAK, MCCLELLAND, MAIER & NEUSTADT, P.C.",0
05704910,"","",unknown,"TESTA, HURWITZ & THIBEAULT, LLP",0
05706355,"","",unknown,"OBLON, SPIVAK, MCCLELLAND, MAIER & NEUSTADT, P.C.",0
05704911,"","",unknown,"CHRISTIE, PARKER & HALE, LLP",0
05704628,KUSNER;,MARK,unknown,"",1
05705525,"","",unknown,"THE FIRM OF GORDON W. HUESCHEN",0
05706420,WINFIELD;,W.,unknown,"",0
05704929,BAMBER;,V.,unknown,"",0
05704211,BAMBER;,V.,unknown,"",0
05705931,"","",unknown,"WARE, FRESSOLA, VAN DER SLUYS & ADOLPHSON LLP",0
05705025,LERNER;,L.,unknown,"",0
05705924,NOVAL;,F.,unknown,"",0
05704617,"","",unknown,"SHERIDAN ROSS P.C.",0
05704094,GUNTIN;,EDUARDO,unknown,"",0
05706301,"","",unknown,"NIXON & VANDERHYE P.C.",0
05706443,"","",unknown,"OHLANDT, GREELEY, RUGGIERO & PERLE",0
05706211,MELES;,PABLO,unknown,"",0
05705799,"","",unknown,"KIRSCHSTEIN, ET AL.",0
05706017,"","",unknown,"FISH & RICHARDSON P.C.",0
05704290,GREENBERG;,A.,unknown,"",1
05704222,"","",unknown,"OLTMAN, FLYNN & KUBLER",0
05704119,"","",unknown,"JACOBSON & JOHNSON",0
05704882,"","",unknown,"KELLY BAUERSFELD LOWRY & KELLEY, LLP",0
05706441,"","",unknown,"REED SMITH SHAW & MCCLAY",0
05705341,"","",unknown,"FLYNN, THIEL, BOUTELL & TANIS, P.C.",0
05704873,"","",unknown,"LORUSSO & LOUD",0
05704865,"","",unknown,"YOUNG & THOMPSON",0
05705833,"","",unknown,"KODA AND ANDROLIA",0
05704901,WILLIAMS;,P.,unknown,"",0
05704919,"","",unknown,"LADAS & PARRY",0
05706478,STANFORD;,R.,unknown,"",0
05706351,"","",unknown,"HILL, STEADMAN & SIMPSON",0
05705415,MEYER;,R.,unknown,"",0
05705172,NATH;,M.,unknown,"",0
05705278,LEPIANE;,C.,unknown,"",0
05705432,DENSON-LOW;,K.,unknown,"",2
05705039,PIPPENGER;,M.,unknown,"",0
05704601,"","",unknown,"ZARLEY,MCKEE,THOMTE,VOORHEES, & SEASE",0
05704600,"","",unknown,"BROOKS & KUSHMAN PC",0
05706277,"","",unknown,"HILL, STEADMAN & SIMPSON",0
05705962,DENSON-LOW;,K.,unknown,"",1
05705171,WILLIAMS;,P.,unknown,"",0
05705162,"","",unknown,"MUELLER AND SMITH, LPA",0
05706082,"","",unknown,"LERNER, DAVID, LITTENBERG, KRUMHOLZ & MENTLIK",0
05706457,ALKOV;,A.,unknown,"",0
05705626,ROWLAND;,I.,unknown,"",0
05704104,KELLY;,D.,unknown,"",0
05706446,PETERSEN;,R.,unknown,"",2
05705920,MURRAY;,E.,unknown,"",0
05705233,"","",unknown,"QUARLES & BRADY",0
05705301,"","",unknown,"HICKMAN BEYER & WEAVER",0
05704616,"","",unknown,"DORITY & MANNING",0
05706227,"PARADICE,",L.,unknown,"",0
05706009,SINDERBRAND;,ALVIN,unknown,"",1
05705923,"","",unknown,"KOKJER, KIRCHER, BOWMAN & JOHNSON",0
05704586,"","",unknown,"SIXBEY, FRIEDMAN, LEEDOM & FERGUSON",1
05704812,"","",unknown,"BROWDY AND NEIMARK",0
05704729,"","",unknown,"BEVERIDGE, DEGRANDI, WEILACHER & YOUNG, LLP",0
05704887,PRICE;,L.,unknown,"",2
05705281,HESS;,C.,unknown,"",0
05704975,"","",unknown,"FOLEY, HOAG & ELIOT LLP",0
05705314,TUCKER;,LANNY,unknown,"",0
05706062,"","",unknown,"ABELMAN, FRAYNE & SCHWAB",0
05704180,"","",unknown,"OPPENHEIMER POMS SMITH",0
05706139,"","",unknown,"LYON, P.C.",0
05704597,GREENBERG;,A.,unknown,"",1
05705317,"","",unknown,"FOLEY & LARDNER",0
05706435,"","",unknown,"RATNER & PRESTIA",0
05706486,GIORDANO;,JOSEPH,unknown,"",1
05705323,TUCKER;,LANNY,unknown,"",0
05704441,LEE;,Y.,unknown,"",2
05704722,FATTIBENE;,T.,unknown,"",1
05706457,DENSON-LOW;,K.,unknown,"",1
05705035,RODMAN;,B.,unknown,"",1
05706177,"","",unknown,"SPENCER & FRANK",0
05705904,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05704791,"","",unknown,"KENYON & KENYON",0
05705665,"","",unknown,"MILLEN, WHITE, ZELANO & BRANIGAN, P.C.",0
05706396,KURDYLA;,H.,unknown,"",2
05705277,"","",unknown,"OBLON, SPIVAK, MCCLELLAND, MAIER & NEUSTADT, P.C.",0
05705203,"","",unknown,"WORKMAN, NYDEGGER & SEELEY",0
05704594,"","",unknown,"PRETTY, SCHROEDER & POPLAWSKI",0
05704647,"","",unknown,"WATOV & KIPNES, P.C.",0
05704444,"","",unknown,"BRINKS HOFER GILSON & LIONE",1
05704304,"","",unknown,"DORITY & MANNING, P.A.",0
05704376,THOMAS;,A.,unknown,"",0
05706172,"","",unknown,"CUSHMAN DARBY & CUSHMAN IP GROUP OF PILLSBURY MADISON & SUTRO LLP",0
05705666,"","",unknown,"FELFE & LYNCH",0
05705048,"","",unknown,"BACHMAN & LAPOINTE, P.C.",0
05705076,"","",unknown,"WOOD, PHILLIPS, VANSANTEN, CLARK & MORTIMER",0
05706268,"","",unknown,"LIMBACH & LIMBACH L.L.P.",0
05704071,GREINER;,R.,unknown,"",0
05704225,"","",unknown,"WEINGARTEN, SCHURGIN, GAGNEBIN & HAYES LLP",0
05705132,ZIMMERMAN;,W.,unknown,"",0
05705939,"","",unknown,"FISH & NEAVE",1
05704990,"","",unknown,"SPENCER & FRANK",0
05705433,MORRIS;,E.,unknown,"",1
05704595,"","",unknown,"WOOD, HERRON & EVANS, L.L.P.",0
05705672,WHALEN;,M.,unknown,"",1
05704703,"","",unknown,"NIKAIDO, MARMELSTEIN, MURRAY & ORAM LLP",0
05705014,ZALE;,P.,unknown,"",0
05704270,"","",unknown,"BURNS, DOANE, SWECKER & MATHIS, LLP",0
05705673,"","",unknown,"OBLON, SPIVAK, MCCLELLAND, MAIER & NEUSTADT, P.C.",0
05706346,"","",unknown,"WENDEROTH, LIND & PONACK",0
05706102,"","",unknown,"BEVERIDGE, DEGRANDI, WEILACHER & YOUNG, LLP",0
05706240,"","",unknown,"BEVERIDGE, DEGRANDI, WEILACHER & YOUNG, LLP",0
05705736,LOFFLER;,PETER,unknown,"",0
05704762,HOLDEN;,J.,unknown,"",0
05705602,"","",unknown,"WENDEROTH, LIND & PONACK",0
05705019,"","",unknown,"LANE, AITKEN & MCCANN",0
05706361,HUGHES;,J.,unknown,"",0
05704284,"","",unknown,"ISAF, VAUGHAN & KERR",1
05705002,LEHRER;,E.,unknown,"",0
05704535,KORFANTA;,M.,unknown,"",0
05706033,"","",unknown,"OBLON, SPIVAK, MCCLELLAND, MAIER & NEUSTADT, P.C.",0
05704532,LEE;,Y.,unknown,"",2
05705010,"","",unknown,"FREDRIKSON & BYRON, PA",0
05705611,BLASDALE;,H.C.,unknown,"",0
05705091,"","",unknown,"MAJESTIC, PARSONS, SIEBERT & HSUE",0
05706326,PILARSKI;,H.,unknown,"",1
05704062,KROLL;,I.,unknown,"",0
05706037,NICKERSON;,J.,unknown,"",0
05704562,MILLER;,W.,unknown,"",1
05704538,HOLDEN;,J.,unknown,"",0
05705071,"","",unknown,"WEBB ZIESENHEIM BRUENING LOGSDON ORKIN & HANSON, P.C.",0
05704361,"","",unknown,"MERCHANT, GOULD, SMITH, EDELL, WELTER & SCHMIDT, P.A.",0
05706059,MILLERS;,T.,unknown,"",0
05704738,"","",unknown,"WOOD, PHILLIPS, VANSANTEN, CLARK & MORTIMER",0
05704843,"","",unknown,"MARSHALL, O'TOOLE, GERSTEIN, MURRAY & BORUN",0
05706205,"","",unknown,"FOLEY & LARDNER",0
05705553,"","",unknown,"BIERMAN, MUSERLIAN AND LUCAS LLP",0
05706215,"","",unknown,"ROGERS & KILLEEN",0
05704412,MALLECK;,W.,unknown,"",0
05705387,FARRELL;,M.,unknown,"",0
05706072,"","",unknown,"ROSSI & ASSOCIATES",0
05706053,"","",unknown,"ARMSTRONG, WESTERMAN HATTORI, MCLELAND & NAUGHTON",0
05704992,"","",unknown,"BAKER & DANIELS",0
05704394,FUNKE;,L.,unknown,"",0
05704101,LEACH;,N.,unknown,"",1
05705743,"MAY,",L.,unknown,"",1
05704175,"","",unknown,"SWABEY OGILVY RENAULT",0
05704556,"","",unknown,"PAUL AND PAUL",0
05706381,"","",unknown,"HILL, STEADMAN & SIMPSON",0
05705605,CRICHTON;,R.,unknown,"",1
05704560,GREENBERG;,A.,unknown,"",1
05704515,"","",unknown,"POLSTER, LIEDER, WOODRUFF & LUCCHESI, L.C.",0
05706483,"","",unknown,"KLARQUIST SPARKMAN CAMPBELL LEIGH & WHINSTON, LLP",0
05704562,STADER;,W.,unknown,"",2
05706070,ANDERSON;,J.,unknown,"",0
05705848,"","",unknown,"OBLON, SPIVAK, MCCLELLAND, MAIER & NEUSTADT, P.C.",0
05704531,OAK;,EUGENE,unknown,"",0
05704980,DUBNO;,HERBERT,unknown,"",0
05704533,"BAXLEY,",E.,unknown,"",0
05704499,"","",unknown,"JAMES RAY & ASSOCIATES",0
05704409,"","",unknown,"MERCHANT, GOULD, SMITH, EDELL, WELTER & SCHMIDT, P.A.",0
05704976,EDELBERG;,A.,unknown,"",1
05705127,LEE;,B.K.,unknown,"",0
05705353,KIVINSKI;,A.,unknown,"",2
05704699,"","",unknown,"WELSH & KATZ, LTD.",0
05706367,FROMMER;,S.,unknown,"",0
05705293,MARASCO;,A.,unknown,"",0
05704781,EARLEY;,A.,unknown,"",0
05705703,SILVERMAN;,A.,unknown,"",2
05705678,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05704257,"","",unknown,"ROBERT W. BECKER & ASSOCIATES",0
05705769,LALL;,C.,unknown,"",2
05705668,"","",unknown,"BRYAN CAVE LLP",0
05704972,ROSEN;,J.,unknown,"",0
05706158,LERNER;,L.,unknown,"",0
05704437,GREEN;,P.,unknown,"",0
05705286,"DALEY,",J.,unknown,"",1
05705887,BESSONE;,S.,unknown,"",0
05705727,HENES;,R.,unknown,"",0
05704770,"","",unknown,"JAMES RAY & ASSOCIATES",0
05705629,"","",unknown,"MCDONNELL BOEHNEN HULBERT & BERGHOFF",0
05705424,"","",unknown,"HAMILTON, BROOK, SMITH & REYNOLDS, P.C.",0
05704553,WELLS;,C.,unknown,"",0
05705102,"","",unknown,"KINNEY & LANGE, P.A.",0
05704934,"","",unknown,"KENYON & KENYON",0
05706267,BRAUN;,T.,unknown,"",1
05704264,WILHELM;,D.,unknown,"",1
05705034,"","",unknown,"OSTROLENK, FABER, GERB & SOFFEN, LLP",0
05704954,"","",unknown,"CRUTSINGER & BOOTH",0
05704995,"","",unknown,"BIEBEL & FRENCH",0
05704969,"","",unknown,"LADAS & PARRY",0
PP101826,"","",unknown,"FOLEY & LARDNER",0
05705286,CONLIN;,G.,unknown,"",0
05705677,"","",unknown,"BURGESS, RYAN & WAYNE",0
05704569,"","",unknown,"CHRISTENSEN O'CONNOR JOHNSON & KINDNESS PLLC",0
05705412,FENDELMAN;,HARVEY,unknown,"",0
05706164,SAILE;,O.,unknown,"",0
05704191,GEGENHEIMER;,MICHAEL,unknown,"",0
05706076,MILLER;,A.,unknown,"",0
05705717,GIANNESCHI;,A.,unknown,"",0
05705289,"","",unknown,"PARKHURST, WENDEL & BURR, L.L.P.",0
05706326,BEULICK;,S.,unknown,"",0
05706120,HOWLEY;,A.,unknown,"",1
05706424,PETERSEN;,R.,unknown,"",2
05706181,LERNER;,L.,unknown,"",0
05705429,"","",unknown,"OSTROLENK, FABER, GERB & SOFFEN, LLP",0
05704191,BRUESKE;,B.,unknown,"",1
05705439,ACKERMAN;,B.,unknown,"",1
05704593,"","",unknown,"SUGHRUE,MION,ZINN,MACPEAK & SEAS, PLLC",0
05706382,"GENCO,",M.,unknown,"",0
05706140,"","",unknown,"LONGACRE & WHITE",0
05705270,REITER;,F.,unknown,"",1
05704695,"","",unknown,"OLIFF & BERRIDGE, PLC",0
05705764,RUDY;,W.,unknown,"",1
05705040,"","",unknown,"KLARQUIST SPARKMAN CAMPBELL LEIGH & WHINSTON, LLP",0
05705932,MACDONALD;,S.,unknown,"",1
05704393,CHRISTIAN;,R.,unknown,"",0
05705328,CHRISTIAN;,R.,unknown,"",0
05705757,"","",unknown,"HILL, STEADMAN & SIMPSON",0
05705466,ZERBY;,W.,unknown,"",1
05704279,"","",unknown,"FOLEY & LARDNER",0
05705367,"","",unknown,"KLAUBER & JACKSON",0
05705075,SZOKE;,G.,unknown,"",0
05705786,"MAGEE,",JAMES,unknown,"",0
05706086,"","",unknown,"W. C. SCHUBERT, W. K. DENSON-LOW",0
05705729,STEINBERG;,W.,unknown,"",1
05704731,STEINBERG;,W.,unknown,"",0
05705470,BLACKMAN;,D.,unknown,"",1
05705536,"","",unknown,"OSTROLENK, FABER, GERB & SOFFEN, LLP",0
05705471,KING;,K.,unknown,"",0
05706194,BOGATIE;,E.,unknown,"",0
05704114,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05704472,"","",unknown,"JANSSON & SHUPE, LTD.",0
05705238,"","",unknown,"WORKMAN, NYDEGGER & SEELEY",0
05705463,JACKSON;,D.,unknown,"",1
05705482,"ZELSON,",T.,unknown,"",0
05706418,"","",unknown,"LOEB & LOEB LLP",0
05704615,"O'NEIL;",A.,unknown,"",0
05706004,"","",unknown,"TOWNSEND AND TOWNSEND AND CREW LLP",0
05705486,"","",unknown,"SHERMAN AND SHALLOWAY",0
05705484,ODRE;,M.,unknown,"",2
05705488,"","",unknown,"FITZPATRICK, CELLA, HARPER & SCINTO",0
05704183,"","",unknown,"MERCHANT, GOULD, SMITH, EDELL, WELTER & SCHMIDT, P.A.",0
05705919,"","",unknown,"FISH & NEAVE",1
05706240,CARLSON;,V.,unknown,"",1
05705917,LECHTER;,A.,unknown,"",1
05704705,"","",unknown,"BACON & THOMAS",0
05705304,"","",unknown,"KNOBBE, MARTENS, OLSON & BEAR, LLP",0
05704704,"","",unknown,"PRICE, HENEVELD, COOPER, DEWITT & LITTON",0
05705032,"","",unknown,"SIM & MCBURNEY",0
05704918,"","",unknown,"LOWE, PRICE, LEBLANC & BECKER",0
05705808,"","",unknown,"LOWE, PRICE, LEBLANC & BECKER",0
05705124,"","",unknown,"KENYON & KENYON",0
05704147,FAIER;,MARTIN,unknown,"",0
05705322,TUCKER;,LANNY,unknown,"",0
05704224,"","",unknown,"OSTROLENK, FABER, GERB & SOFFEN, LLP",0
05705422,"","",unknown,"MORGAN, LEWIS & BOCKIUS LLP",0
05705130,MCBRIDE;,K.,unknown,"",0
05704945,"","",unknown,"FOLEY & LARDNER",0
05704486,BATTISON;,D.,unknown,"",0
05704303,"BAXLEY,",E.,unknown,"",0
05705795,HAMMAR;,C.,unknown,"",0
05705720,"","",unknown,"BURNS, DOANE, SWECKER & MATHIS, L.L.P.",0
05705191,MCDONNELL;,E.,unknown,"",0
05704199,MILLER;,W.,unknown,"",0
05704915,"","",unknown,"AMSTER, ROTHSTEIN & EBENSTEIN",0
05704322,FAVRE;,LEE,unknown,"",0
05706324,"","",unknown,"HILL, STEADMAN & SIMPSON",0
05705727,HENSLEY;,L.,unknown,"",1
05705362,"","",unknown,"MORRISON & FOERSTER LLP",0
05704102,FORNERO;,LEO,unknown,"",0
05704868,DZIEGIELEWSKI;,GREG,unknown,"",1
05706220,"","",unknown,"FENWICK & WEST LLP",0
05704853,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS",0
05704672,WILLIAMS;,P.,unknown,"",0
05705035,GIBSON;,H.,unknown,"",0
05706365,"","",unknown,"FENWICK & WEST LLP",0
05705041,GROSSMAN;,E.,unknown,"",0
05704907,"","",unknown,"HEAD, JOHNSON & KACHIGIAN",0
05704065,GORDON;,P.,unknown,"",0
05704438,PRIZZI;,J.,unknown,"",0
05706512,"","",unknown,"STERNE, KESSLER, GOLDSTEIN & FOX P.L.L.C.",1
05706267,THYFAULT;,M.,unknown,"",2
05704916,MCKEE;,E.,unknown,"",0
05704870,"","",unknown,"DAVIS AND BUJOLD",0
05704329,BACH;,J.,unknown,"",0
05706321,"","",unknown,"FOLEY & LARDNER",0
05705359,EAGLE;,M.,unknown,"",0
05704751,DORMAN;,S.,unknown,"",0
05706456,SOWELL;,B.,unknown,"",0
05706332,"","",unknown,"SCULLY, SCOTT, MURPHY & PRESSER",0
05704107,RICE;,O.,unknown,"",2
05704835,"","",unknown,"TOWNSEND AND TOWNSEND AND CREW LLP",1
05704063,KOSIE;,S.,unknown,"",0
05706251,"","",unknown,"TAYLOR & ASSOCIATES, P.C.",0
05706488,HILL;,C.,unknown,"",0
05704584,"","",unknown,"THORPE NORTH & WESTERN, LLP",0
05705849,SAILE;,O.,unknown,"",0
05705645,ALMAULA;,I.,unknown,"",0
05705363,SHOLTZ;,K.,unknown,"",0
05704339,MAY;,L.,unknown,"",1
05705509,KINZIG;,M.,unknown,"",0
05705740,"","",unknown,"HELFOTT AND KARAS",0
05704826,"","",unknown,"THE KLINE LAW FIRM",0
05706275,"","",unknown,"CUSHMAN DARBY & CUSHMAN INTELLECTUAL PROPERTY GROUP OF PILLSBURY MADISON &",1
05705136,"","",unknown,"ARNOLD, WHITE & DURKEE",0
05704140,ROSEN;,J.,unknown,"",0
05705523,BENSON;,C.,unknown,"",1
05706234,ROUNTREE;,N.,unknown,"",0
05705164,RASSER;,C.,unknown,"",2
05704239,"","",unknown,"PRAVEL, HEWITT, KIMBALL & KRIEGER",0
05705775,"","",unknown,"PARKHURST, WENDEL & BURR, L.L.P.",0
05704905,"","",unknown,"BRINKS HOFER GILSON & LIONE",0
05704504,"","",unknown,"DARBY & DARBY",0
05705200,URBAN;,L.,unknown,"",0
05704337,BACH;,J.,unknown,"",0
05705960,BEVER;,T.,unknown,"",1
05706199,"","",unknown,"WOODARD, EMHARDT, NAUGHTON, MORIARTY & MCNETT",0
05705125,"","",unknown,"FRISHAUF, HOLTZ, GOODMAN, LANGER & CHICK, P.C.",0
05705491,"","",unknown,"FISHER, CHRISTEN & SABOL",0
05705271,"","",unknown,"MORRISON & FOERSTER LLP",0
05704871,"","",unknown,"ARMSTRONG, WESTERMAN, HATTORI, MCLELAND & NAUGHTON",0
05705984,MCGOWAN;,J.,unknown,"",0
05704960,"","",unknown,"HARRIS BEACH & WILCOX, LLP",0
05705263,"","",unknown,"BURNS, DOANE, SWECKER & MATHIS, L.L.P.",0
05705107,"","",unknown,"WENDEROTH, LIND & PONACK",0
05705024,DAWSON;,D.,unknown,"",0
05704981,"","",unknown,"BEVERIDGE, DEGRANDI, WEILACHER & YOUNG LLP",0
05704634,"","",unknown,"TAROLLI, SUNDHEIM, COVEL, TUMMINO & SZABO",0
05704107,ROTH;,J.,unknown,"",0
05704886,"","",unknown,"LUEDEKA, NEELY & GRAHAM, PC",0
05705882,BESSONE;,S.,unknown,"",0
05706253,LALL;,C.,unknown,"",2
05704894,"","",unknown,"MESCHKOW & GRESHAM, P.L.C.",0
05704830,"","",unknown,"WEBB ZIESENHEIM BRUENING LOGSDON ORKIN & HANSON, P.C.",0
05705405,GALANTHAY;,E.,unknown,"",1
05706133,MUETING;,M.,unknown,"",2
05704161,"","",unknown,"DUNLAP & CODDING, P.C.",0
05704833,"","",unknown,"FISHER, CHRISTEN & SABOL",0
05705448,"","",unknown,"CAESAR, RIVISE, BERNSTEIN, COHEN & POKOTILOW, LTD.",0
05705522,"","",unknown,"BELL, BOYD & LLOYD",0
05704700,SCOTT;,P.,unknown,"",1
05704758,EGGINK;,G.,unknown,"",0
05705348,SILVA;,M.,unknown,"",1
05705510,BROWN;,C.,unknown,"",0
05705907,SHOUP;,W.,unknown,"",0
05705437,"JONES,",S.,unknown,"",2
05704513,"","",unknown,"OSTROLENK, FABER, GERB & SOFFEN, LLP",0
05704805,NESS;,P.,unknown,"",0
05705518,"","",unknown,"MORRISON & FOERSTER",0
05705809,RODDY;,A.,unknown,"",0
05705514,"","",unknown,"TOWNSEND AND TOWNSEND AND CREW",0
05706289,FEMAL;,J.,unknown,"",0
05705516,ACKERMAN;,G.,unknown,"",0
05704749,BRADLEY;,E.,unknown,"",0
05706392,"","",unknown,"WEIL, GOTSHAL & MANGES LLP",0
05706191,"","",unknown,"DICK AND HARRIS",0
05704613,"","",unknown,"SKJERVEN, MORRILL, MACPHERSON, FRANKLIN & FRIEL LLP.",2
05704642,SHURUPOFF;,J.,unknown,"",0
05704214,"","",unknown,"BEVERIDGE, DEGRANDI, WEILACHER & YOUNG, L.L.P.",0
05704461,"","",unknown,"PETERSON, WICKS, NEMER & KAMRATH, P.A.",0
05705221,EVERETT;,E.,unknown,"",0
05705607,SANCHELIMA;,J.,unknown,"",0
05705622,"","",unknown,"DORSEY & WHITNEY",0
05706357,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05705404,FRANZ;,L.,unknown,"",0
05705235,KINSELLA;,STEPHAN,unknown,"",1
05705519,VORNDRAN-JONES;,MACHARRI,unknown,"",0
05705217,"","",unknown,"FINNEGAN, HENDERSON, FARABOW, GARRETT & DUNNER, L.L.P.",0
05704125,FOX;,N.,unknown,"",0
05704679,MODIANO;,GUIDO,unknown,"",0
05706186,JASKOLSKI;,A.,unknown,"",0
05705646,RICHARDSON;,C.,unknown,"",0
05704702,"","",unknown,"JORDON AND HAMBURG",0
05705929,"","",unknown,"MCHALE & SLAVIN, P.A.",0
05705977,"","",unknown,"MCHALE & SLAVIN, P.A.",0
05705444,"KIRN,",N.,unknown,"",0
05704537,"","",unknown,"BIRCH, STEWART, KOLASCH & BIRCH, LLP",0
05705318,"","",unknown,"KLARQUIST SPARKMAN CAMPBELL LEIGH & WHINSTON, LLP",0
05706034,"","",unknown,"ANTONELLI, TERRY, STOUT & KRAUS, LLP.",0
05705025,GREENBERG;,A.,unknown,"",1
05704194,"","",unknown,"POLSTER, LIEDER, WOODRUFF & LUCCHESI, L.C.",0
05705898,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05704522,"","",unknown,"CURTIS, MORRIS & SAFFORD, P.C.",0
05705127,RUDY;,W.,unknown,"",1
05704545,LITMAN;,C.,unknown,"",0
05704269,"","",unknown,"FLYNN, THIEL, BOUTELL & TANIS, P.C.",0
PP101737,"","",unknown,"BURNS, DOANE, SWECKER & MATHIS, L.L.P.",0
05705386,"","",unknown,"STEINBERG, RASKIN & DAVIDSON P.C.",0
05705966,"","",unknown,"LOWE, PRICE, LEBLANC & BECKER",0
05704356,FRIEDMAN;,M.,unknown,"",0
05704722,"","",unknown,"FATTIBENE AND FATTIBENE",2
05705406,"","",unknown,"POLLOCK, VANDE SANDE & PRIDDY",0
05705524,BOSSE;,L.,unknown,"",0
05705869,SNYDER;,MARVIN,unknown,"",1
05704508,"","",unknown,"HARPMAN & HARPMAN",0
05705921,"","",unknown,"BLISS MCGLYNN, P.C.",0
05705610,"","",unknown,"DEHLINGER & ASSOCIATES",2
05704687,"","",unknown,"HARNESS, DICKEY & PIERCE, P.L.C.",0
05704639,DRAYER;,R.,unknown,"",0
05705892,GLASTETTER;,E.,unknown,"",0
05706075,"","",unknown,"WENDEROTH, LIND & PONACK",0
05705813,FRIEDMAN;,J.,unknown,"",0
05705942,"","",unknown,"BLAKELY, SOKOLOFF, TAYLOR & ZAFMAN",0
05705441,PRESCOTT;,J.,unknown,"",2
05704421,"","",unknown,"OBLON, SPIVAK, MCCLELLAND, MAIER & NEUSTADT, P.C.",0
05705510,MAYO;,C.,unknown,"",1
05706101,"","",unknown,"FITZPATRICK, CELLA, HARPER & SCINTO",0
05705643,MALIA;,M.,unknown,"",1
05706471,"","",unknown,"BLAKELY, SOKOLOFF, TAYLOR & ZAFMAN",0
05704683,"","",unknown,"WOODWARD, EMHARDT, NAUGHTON, MORIARTY & MCNETT",0
05706119,"","",unknown,"FINNEGAN, HENDERSON, FARABOW, GARRETT & DUNNER, L.L.P.",0
05704424,"","",unknown,"PEARNE, GORDON, MCCOY & GRANGER LLP",0
05705952,"","",unknown,"WHITHAM, CURTIS, WHITHAM & MCGINN",0
05705050,"","",unknown,"JACOBSON, PRICE, HOLMAN & STERN, PLLC",0
05704652,RADACK;,V.,unknown,"",1
05705408,"","",unknown,"ARMSTRONG, WESTERMAN, HATTORI, MCLELAND & NAUGHTON",0
05705841,"","",unknown,"FISH & RICHARDSON P.C.",0
05704384,"","",unknown,"MCHALE & SLAVIN",0
05704378,SCHINDLER;,D.,unknown,"",0
05704475,JOHNSTON;,G.,unknown,"",1
05705462,JAESCHKE;,C.,unknown,"",0
05705888,SPAIN;,N.,unknown,"",0
05705741,"","",unknown,"MAJESTIC, PARSONS, SIEBERT & HSUE",0
05705513,"","",unknown,"MAJESTIC, PARSONS, SIEBERT & HSUE",0
05705359,VENETIANER;,A.,unknown,"",1
05706295,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05706291,"","",unknown,"CUSHMAN DARBY & CUSHMAN IP GROUP OF PILLSBURY MADISON & SUTRO LLP",0
05706313,JUFFERNBRUCH;,W.,unknown,"",0
05705329,BIERMAN;,B.,unknown,"",1
05705631,GWINNELL;,J.,unknown,"",1
05705569,CORVIN;,D.,unknown,"",0
05704750,KELLEY;,B.,unknown,"",0
05704693,"MCCORMICK,",H.,unknown,"",0
05706464,DILLON;,J.,unknown,"",1
05704631,"","",unknown,"TREXLER, BUSHNELL, GIANGIORGI & BLACKSTONE, LTD.",0
05706454,ROBERTS;,L.,unknown,"",0
05704106,SANTANGELO;,LUKE,unknown,"",0
05706413,"","",unknown,"SUGHRUE, MION, ZINN, MACPEAK & SEAS, PLLC",0
05704141,"","",unknown,"TOWNSEND AND TOWNSEND AND CREW LLP",0
05705765,RUDY;,W.,unknown,"",1
05705574,HAMMAR;,C.,unknown,"",0
05704836,"","",unknown,"OPPENHEIMER POMS SMITH",0
05705895,"","",unknown,"OPPENHEIMER POMS SMITH",0
05705120,"","",unknown,"CUSHMAN DARBY & CUSHMAN IP GROUP OF PILLSBURY MADISON & SUTRO, LLP",0
05705530,VOET;,A.,unknown,"",1
05704796,"","",unknown,"FISH & RICHARDSON P.C.",0
05705566,"","",unknown,"BAKER & DANIELS",0
05704388,"","",unknown,"HOVEY, WILLIAMS, TIMMONS & COLLINS",0
05704747,BAUERSFELD;,KELLY,unknown,"",1
05705216,"","",unknown,"DEWITT ROSS & STEVENS SC",0
05704953,"","",unknown,"FOLEY & LARDNER",0
05706261,MILLER;,A.,unknown,"",1
05704856,GILLIAM;,D.,unknown,"",1
05706240,MATES;,E.,unknown,"",2
05704197,JOHNSON;,R.,unknown,"",0
05704132,BRUNTON;,E.,unknown,"",0
05704343,FERGUSON;,D.,unknown,"",2
05705355,"","",unknown,"BURNS, DOANE, SWECKER & MATHIS, L.L.P.",0
